10	  0.5005	  16.7690	-3.2566	3.9289	-1.6880	2.6218	-1	0.0728	0.0235	1	0.0000	2.3210	30	
10	  0.5171	  16.6166	-0.4707	1.6793	-1.2011	2.2448	-1	0.1067	0.1004	1	0.0000	3.4032	31	
10	  0.5339	  16.7603	-0.6080	1.8387	-0.9638	2.0823	-1	0.1455	0.1173	1	0.0000	4.6407	32	
10	  0.5505	  16.6030	-0.9619	2.0831	-0.9631	2.0826	-1	0.1351	0.1081	1	0.0166	4.3076	33	
10	  0.5671	  16.6217	-0.1899	1.0347	-0.6538	1.6635	-1	0.0347	0.0266	1	0.0000	1.1061	34	
10	  0.5838	  16.7555	-0.1632	1.0973	-0.4576	1.4370	-1	0.1117	0.0542	1	0.0000	3.5642	35	
10	  0.6005	  16.6193	-0.6931	1.8736	-0.5518	1.6116	-1	0.1373	0.1038	1	0.0000	4.3797	36	
10	  0.6172	  16.7509	-1.0175	2.2146	-0.7381	1.8528	-1	0.1332	0.1088	1	0.0000	4.2480	37	
10	  0.6338	  16.6223	-0.0033	1.1570	-0.4442	1.5745	-1	0.1282	0.0765	1	0.0000	4.0898	38	
10	  0.6506	  16.7856	-3.1530	3.8464	-1.5277	2.4833	-1	0.0482	0.0226	1	0.0000	1.5364	39	
10	  0.6672	  16.5907	-0.2899	1.4178	-1.0326	2.0571	-1	0.1215	0.0656	1	0.0000	3.8738	40	
10	  0.6840	  16.7724	-0.9761	2.2192	-1.0100	2.1219	-1	0.1403	0.1044	1	0.0168	4.4756	41	
10	  0.7006	  16.5997	-0.8435	2.0467	-0.9434	2.0918	-1	0.1184	0.1123	1	0.0334	3.7763	42	
10	  0.7173	  16.7703	-0.0443	0.9902	-0.5837	1.6511	-1	0.0519	0.0470	1	0.0000	1.6568	43	
10	  0.7339	  16.6030	-0.3796	1.3462	-0.5021	1.5292	-1	0.1209	0.0721	1	0.0000	3.8553	44	
10	  0.7507	  16.7944	-1.0725	2.2317	-0.7303	1.8102	-1	0.1288	0.1121	1	0.0000	4.1083	45	
10	  0.7673	  16.5650	-0.8135	2.0285	-0.7635	1.8975	-1	0.1343	0.1163	1	0.0166	4.2847	46	
10	  0.7841	  16.7893	-0.8129	1.9596	-0.7833	1.9223	-1	0.1271	0.1154	1	0.0334	4.0549	47	
10	  0.8007	  16.6341	-0.2259	1.2157	-0.5603	1.6397	-1	0.1246	0.0787	1	0.0000	3.9742	48	
10	  0.8175	  16.7349	-0.1876	1.1512	-0.4113	1.4443	-1	0.1349	0.0751	1	0.0000	4.3017	49	
10	  0.8340	  16.5155	-0.6649	1.7373	-0.5127	1.5615	-1	0.1442	0.1109	1	0.0000	4.5998	50	
10	  0.8508	  16.8629	-0.6713	1.7229	-0.5761	1.6261	-1	0.1324	0.1217	1	0.0169	4.2237	51	
10	  0.8675	  16.6175	-0.3476	1.2907	-0.4847	1.4919	-1	0.1130	0.0741	1	0.0000	3.6034	52	
10	  0.8842	  16.7500	-0.3475	1.3635	-0.4298	1.4405	-1	0.1098	0.0794	1	0.0168	3.5011	53	
10	  0.9008	  16.6317	-0.7377	1.9517	-0.5530	1.6450	-1	0.1549	0.1195	1	0.0000	4.9402	54	
10	  0.9174	  16.5931	-0.7378	1.8326	-0.6269	1.7201	-1	0.1382	0.1153	1	0.0166	4.4095	55	
10	  0.9342	  16.7772	-2.1617	3.1528	-1.2408	2.2932	-1	0.0979	0.0718	1	0.0000	3.1239	56	
10	  0.9508	  16.6169	-0.2077	0.8815	-0.8276	1.7285	-1	0.1248	0.0693	1	0.0000	3.9798	57	
10	  0.9676	  16.7524	-0.8797	2.0747	-0.8484	1.8670	-1	0.1386	0.1112	1	0.0000	4.4219	58	
10	  0.9842	  16.6066	-0.7349	1.9405	-0.8030	1.8964	-1	0.1392	0.1189	1	0.0166	4.4389	59	
10	  1.0010	  16.7866	-0.8351	1.9470	-0.8159	1.9166	-1	0.1194	0.1155	1	0.0334	3.8071	60	
10	  1.0176	  16.5861	-0.8016	1.9813	-0.8102	1.9425	-1	0.1201	0.1069	1	0.0500	3.8292	61	
10	  1.0342	  16.6214	-1.0819	2.2431	-0.9189	2.0627	-1	0.1314	0.1119	1	0.0000	4.1921	62	
10	  1.0509	  16.7654	-1.0494	2.2293	-0.9711	2.1294	-1	0.1428	0.1110	1	0.0168	4.5536	63	
10	  1.0676	  16.6060	-0.8508	2.0428	-0.9230	2.0948	-1	0.1350	0.1189	1	0.0334	4.3070	64	
10	  1.0843	  16.7546	-1.9957	3.0234	-1.3520	2.4662	-1	0.1291	0.0763	1	0.0000	4.1168	65	
10	  1.1010	  16.6501	-0.6523	1.8789	-1.0722	2.2313	-1	0.1406	0.1210	1	0.0000	4.4846	66	
10	  1.1177	  16.7238	-0.5411	1.7236	-0.8598	2.0282	-1	0.1513	0.0896	1	0.0000	4.8262	67	
10	  1.1343	  16.6217	-0.5812	1.7495	-0.7483	1.9167	-1	0.1297	0.1220	1	0.0000	4.1376	68	
10	  1.1510	  16.7268	-0.5618	1.6690	-0.6737	1.8176	-1	0.1307	0.1170	1	0.0000	4.1687	69	
10	  1.1677	  16.6486	-0.8776	2.0559	-0.7553	1.9129	-1	0.1193	0.1095	1	0.0000	3.8051	70	
10	  1.1844	  16.7500	-2.8789	3.5227	-1.6047	2.5568	-1	0.1119	0.0618	1	0.0000	3.5688	71	
10	  1.2010	  16.6024	-0.8048	2.0169	-1.2848	2.3409	-1	0.1366	0.1174	1	0.0000	4.3569	72	
10	  1.2178	  16.7896	-0.7914	1.9866	-1.0874	2.1991	-1	0.1407	0.1164	1	0.0000	4.4871	73	
10	  1.2344	  16.5913	-0.5161	1.7581	-0.8589	2.0227	-1	0.1513	0.1209	1	0.0000	4.8246	74	
10	  1.2512	  16.7820	-0.5445	1.6530	-0.7331	1.8748	-1	0.1189	0.1048	1	0.0000	3.7911	75	
10	  1.2678	  16.6106	-0.7294	1.8959	-0.7316	1.8832	-1	0.1367	0.1177	1	0.0166	4.3615	76	
10	  1.2846	  16.7645	-0.5024	1.6255	-0.6399	1.7801	-1	0.1436	0.1259	1	0.0000	4.5794	77	
10	  1.3012	  16.5855	-3.4404	4.0547	-1.7601	2.6900	-1	0.0760	0.0210	1	0.0000	2.4233	78	
10	  1.3179	  16.7875	-0.1866	1.1165	-1.1307	2.0606	-1	0.1108	0.0590	1	0.0000	3.5345	79	
10	  1.3346	  16.6239	-0.7767	1.9410	-0.9891	2.0127	-1	0.1464	0.1218	1	0.0000	4.6708	80	
10	  1.3513	  16.7524	-0.8636	2.0968	-0.9389	2.0464	-1	0.1557	0.1197	1	0.0168	4.9663	81	
10	  1.3679	  16.6226	-2.0831	3.0966	-1.3966	2.4665	-1	0.1307	0.0817	1	0.0000	4.1703	82	
10	  1.3847	  16.7540	-1.7182	2.8290	-1.5252	2.6115	-1	0.1514	0.0396	1	0.0000	4.8279	83	
10	  1.4013	  16.6217	-0.3520	1.3635	-1.0559	2.1123	-1	0.1337	0.0949	1	0.0000	4.2648	84	
10	  1.4179	  16.5994	-0.4609	1.5759	-0.8179	1.8978	-1	0.1363	0.1017	1	0.0000	4.3475	85	
10	  1.4347	  16.7760	-0.6474	1.8401	-0.7497	1.8747	-1	0.1362	0.1171	1	0.0168	4.3451	86	
10	  1.4514	  16.7485	-0.9257	2.0432	-0.8201	1.9421	-1	0.1206	0.1101	1	0.0335	3.8480	87	
10	  1.4681	  16.6272	-0.7992	1.9546	-0.8118	1.9471	-1	0.1257	0.1045	1	0.0166	4.0098	88	
10	  1.4847	  16.5985	-1.0003	2.1484	-0.8872	2.0276	-1	0.1348	0.1105	1	0.0166	4.3000	89	
10	  1.5014	  16.7482	-0.7247	1.8111	-0.8222	1.9410	-1	0.1408	0.1130	1	0.0167	4.4914	90	
10	  1.5180	  16.5882	-0.8597	2.0577	-0.8372	1.9877	-1	0.1330	0.1191	1	0.0166	4.2429	91	
10	  1.5347	  16.6610	-0.1672	1.3054	-0.5692	1.7148	-1	0.1442	0.0899	1	0.0000	4.6008	92	
10	  1.5514	  16.7515	-0.7119	1.9865	-0.6263	1.8235	-1	0.1528	0.1223	1	0.0168	4.8744	93	
10	  1.5680	  16.6251	-0.3851	1.6380	-0.5298	1.7493	-1	0.1512	0.1329	1	0.0000	4.8223	94	
10	  1.5848	  16.7479	-0.5681	1.6851	-0.5451	1.7236	-1	0.1290	0.1171	1	0.0167	4.1140	95	
10	  1.6014	  16.6275	-0.8959	2.0556	-0.6854	1.8564	-1	0.1159	0.1105	1	0.0000	3.6967	96	
10	  1.6182	  16.7461	-3.5489	4.0344	-1.8308	2.7276	-1	0.0894	0.0541	1	0.0000	2.8525	97	
10	  1.6348	  16.6220	-0.8106	2.0169	-1.4227	2.4433	-1	0.1359	0.1175	1	0.0000	4.3337	98	
10	  1.6515	  16.7546	-2.1289	3.1283	-1.7052	2.7173	-1	0.1375	0.0802	1	0.0000	4.3863	99	
10	  1.6682	  16.6211	-0.8071	1.9418	-1.3459	2.4071	-1	0.1263	0.1144	1	0.0000	4.0300	100	
10	  1.6849	  16.7700	-0.2981	1.1320	-0.9268	1.8971	-1	0.1217	0.0810	1	0.0000	3.8820	101	
10	  1.7015	  16.5843	-0.3796	1.6126	-0.7079	1.7833	-1	0.1448	0.1007	1	0.0000	4.6178	102	
10	  1.7183	  16.7869	-0.6662	1.9302	-0.6912	1.8420	-1	0.1495	0.1223	1	0.0168	4.7687	103	
10	  1.7349	  16.6073	-0.9620	2.0869	-0.7995	1.9400	-1	0.1188	0.1082	1	0.0000	3.7908	104	
10	  1.7517	  16.7690	-0.0164	0.7817	-0.4863	1.4766	-1	0.0617	0.0333	1	0.0000	1.9671	105	
10	  1.7683	  16.6266	-1.0042	2.1650	-0.6934	1.7520	-1	0.1390	0.1104	1	0.0000	4.4351	106	
10	  1.7851	  16.7712	-0.9123	2.1330	-0.7810	1.9044	-1	0.1417	0.1205	1	0.0000	4.5202	107	
10	  1.8017	  16.6085	-0.8509	2.0507	-0.8089	1.9629	-1	0.1360	0.1194	1	0.0166	4.3376	108	
10	  1.8184	  16.7582	-0.8703	2.0618	-0.8335	2.0024	-1	0.1357	0.1190	1	0.0334	4.3282	109	
10	  1.8350	  16.5239	-0.7718	1.9921	-0.8088	1.9983	-1	0.1433	0.1172	1	0.0165	4.5715	110	
10	  1.8518	  16.8530	-0.7629	1.9435	-0.7905	1.9764	-1	0.1361	0.1188	1	0.0169	4.3409	111	
10	  1.8684	  16.6281	-0.6010	1.7152	-0.7147	1.8719	-1	0.1364	0.1197	1	0.0000	4.3509	112	
10	  1.8852	  16.7114	-0.9379	2.1840	-0.8040	1.9968	-1	0.1481	0.1105	1	0.0000	4.7246	113	
12	 1.894626	1 dot -0.2
10	  1.9018	  16.6586	-3.2732	3.9208	-1.7917	2.7664	-1	0.0378	0.0255	1	0.0000	1.2047	114	
10	  1.9184	  16.6009	-1.0402	2.1923	-1.4911	2.5367	-1	0.1383	0.1126	1	0.0000	4.4118	115	
10	  1.9352	  16.7410	-0.7255	1.9009	-1.1848	2.2824	-1	0.1503	0.1142	1	0.0000	4.7938	116	
10	  1.9518	  16.5928	-0.8381	1.9600	-1.0461	2.1534	-1	0.1328	0.1174	1	0.0000	4.2364	117	
10	  1.9685	  16.7944	-0.3345	1.4885	-0.7615	1.8875	-1	0.1337	0.1062	1	0.0000	4.2651	118	
10	  1.9851	  16.5876	-0.8037	1.9447	-0.7783	1.9103	-1	0.1346	0.1144	1	0.0166	4.2942	119	
10	  2.0019	  16.8010	-0.6052	1.8532	-0.7091	1.8875	-1	0.1502	0.1294	1	0.0334	4.7922	120	
10	  2.0185	  16.5928	-0.8934	2.1560	-0.7828	1.9949	-1	0.1413	0.1260	1	0.0000	4.5059	121	
10	  2.0353	  16.7591	-2.8331	3.6306	-1.6029	2.6492	-1	0.0984	0.0689	1	0.0000	3.1394	122	
10	  2.0519	  16.6239	-3.3569	3.9225	-2.3045	3.1585	-1	0.0858	0.0577	1	0.0000	2.7356	123	
10	  2.0685	  16.6166	-0.8150	2.0160	-1.7087	2.7015	-1	0.1529	0.1189	1	0.0000	4.8782	124	
10	  2.0853	  16.7277	-0.7795	1.9303	-1.3370	2.3930	-1	0.1463	0.1134	1	0.0000	4.6656	125	
10	  2.1019	  16.6519	-2.1074	3.0841	-1.6452	2.6695	-1	0.1116	0.0765	1	0.0000	3.5591	126	
10	  2.1186	  16.7069	-0.1704	1.4596	-1.0553	2.1855	-1	0.1488	0.1049	1	0.0000	4.7471	127	
10	  2.1353	  16.6365	-0.9828	2.1361	-1.0263	2.1657	-1	0.1339	0.1081	1	0.0166	4.2707	128	
10	  2.1520	  16.7422	-0.9037	2.1072	-0.9773	2.1423	-1	0.1454	0.1196	1	0.0334	4.6381	129	
10	  2.1686	  16.6175	-0.6627	1.9373	-0.8514	2.0603	-1	0.1420	0.1233	1	0.0000	4.5285	130	
10	  2.1854	  16.7591	-0.4065	1.2541	-0.6735	1.7378	-1	0.1323	0.0832	1	0.0000	4.2201	131	
10	  2.2020	  16.6233	-0.9863	2.1261	-0.7986	1.8932	-1	0.1245	0.1152	1	0.0000	3.9716	132	
