10	  0.5172	  16.6060	0.2675	0.8289	0.3828	0.2016	-1	0.0555	0.0307	1	0.0000	1.7709	31	
10	  0.5340	  16.8019	0.3204	0.8192	0.3578	0.4486	-1	0.0736	0.0192	1	0.0000	2.3484	32	
10	  0.5506	  16.6000	0.1872	-0.2085	0.2896	0.1858	8	0.1280	0.0729	1	0.0000	4.0811	33	
10	  0.5674	  16.7959	-0.1206	-1.5668	0.1255	-0.5152	-1	0.0476	0.0206	1	0.0000	1.5181	34	
10	  0.5840	  16.6015	0.4845	0.4603	0.2691	-0.1250	-1	0.1221	0.0992	1	0.0000	3.8944	35	
10	  0.6007	  16.7473	0.3240	0.4265	0.2910	0.0956	-1	0.1571	0.0967	1	0.0000	5.0099	36	
10	  0.6174	  16.6450	0.5409	0.2466	0.3910	0.1560	-1	0.1672	0.1036	1	0.0000	5.3346	37	
10	  0.6340	  16.6628	0.4698	0.0352	0.4225	0.1077	-1	0.2103	0.1104	1	0.0167	6.7066	38	
10	  0.6507	  16.7017	0.3213	0.8384	0.3820	0.4000	-1	0.0566	0.0278	1	0.0000	1.8064	39	
10	  0.6675	  16.7524	0.6117	0.4772	0.4739	0.4309	1	0.2087	0.1249	1	0.0168	6.6572	40	
10	  0.6840	  16.5439	0.3114	0.1678	0.4089	0.3256	-1	0.1999	0.1432	1	0.0000	6.3760	41	
10	  0.7008	  16.7826	0.3283	-0.0229	0.3766	0.1862	-1	0.1889	0.1323	1	0.0000	6.0243	42	
10	  0.7174	  16.6100	0.4290	0.2275	0.3976	0.2027	-1	0.1514	0.1228	1	0.0166	4.8292	43	
10	  0.7342	  16.7461	0.4875	-0.0308	0.4335	0.1093	-1	0.1760	0.1266	1	0.0334	5.6129	44	
10	  0.7508	  16.6444	0.6970	-0.1293	0.5389	0.0139	-1	0.1827	0.1320	1	0.0000	5.8279	45	
10	  0.7674	  16.6027	0.5983	-0.1519	0.5627	-0.0524	-1	0.1946	0.1498	1	0.0166	6.2072	46	
10	  0.7841	  16.7334	0.1538	0.7742	0.3991	0.2782	-1	0.0874	0.0243	1	0.0000	2.7862	47	
10	  0.8008	  16.6824	0.4860	0.2634	0.4339	0.2723	-1	0.1697	0.1235	1	0.0167	5.4128	48	
10	  0.8176	  16.7663	0.5116	0.2206	0.4650	0.2516	-1	0.1720	0.1271	1	0.0334	5.4876	49	
10	  0.8341	  16.5463	0.5733	0.4555	0.5083	0.3332	-1	0.1497	0.1271	1	0.0165	4.7742	50	
10	  0.8509	  16.7455	0.4561	0.2045	0.4874	0.2817	-1	0.1475	0.1373	1	0.0167	4.7046	51	
10	  0.8675	  16.6420	0.6141	0.0277	0.5381	0.1801	-1	0.1660	0.1304	1	0.0166	5.2931	52	
10	  0.8841	  16.5910	0.7377	-0.1728	0.6179	0.0390	-1	0.1739	0.1538	1	0.0000	5.5482	53	
10	  0.9009	  16.7588	0.6028	0.3712	0.6119	0.1719	-1	0.1462	0.1357	1	0.0168	4.6621	54	
10	  0.9175	  16.6236	0.0963	0.5754	0.4056	0.3333	-1	0.1644	0.0764	1	0.0000	5.2428	55	
10	  0.9342	  16.7425	0.6065	0.5082	0.4860	0.4032	-1	0.1840	0.1275	1	0.0167	5.8688	56	
10	  0.9508	  16.5218	0.6101	0.3821	0.5356	0.3948	-1	0.1602	0.1288	1	0.0333	5.1104	57	
10	  0.9675	  16.7383	0.6570	0.3476	0.5842	0.3759	-1	0.1574	0.1406	1	0.0167	5.0194	58	
10	  0.9841	  16.6287	0.6023	0.0008	0.5914	0.2259	-1	0.1512	0.1400	1	0.0000	4.8225	59	
10	  1.0009	  16.7488	0.6434	-0.1357	0.6122	0.0813	-1	0.1659	0.1266	1	0.0000	5.2913	60	
10	  1.0176	  16.7503	0.4935	-0.1491	0.5647	-0.0109	-1	0.1799	0.1520	1	0.0168	5.7386	61	
10	  1.0344	  16.7687	0.3210	0.9121	0.4673	0.3583	-1	0.0697	0.0368	1	0.0000	2.2226	62	
10	  1.0510	  16.6163	0.5999	0.4080	0.5203	0.3782	-1	0.1920	0.1269	1	0.0166	6.1233	63	
10	  1.0678	  16.7443	0.5462	0.1408	0.5307	0.2833	-1	0.1815	0.1319	1	0.0334	5.7893	64	
10	  1.0844	  16.6217	0.5249	-0.3201	0.5283	0.0419	9	0.1834	0.1446	1	0.0000	5.8486	65	
10	  1.1011	  16.7657	0.4389	-0.0250	0.4926	0.0151	-1	0.1726	0.1332	1	0.0168	5.5065	66	
10	  1.1178	  16.6063	0.5522	0.1108	0.5164	0.0534	9	0.1985	0.1501	1	0.0334	6.3325	67	
10	  1.1345	  16.7678	0.4460	-0.1046	0.4883	-0.0098	-1	0.2145	0.1472	1	0.0168	6.8410	68	
10	  1.1511	  16.6236	0.3658	0.9118	0.4393	0.3589	-1	0.0794	0.0377	1	0.0000	2.5328	69	
10	  1.1679	  16.7464	0.6805	0.2056	0.5358	0.2976	-1	0.1921	0.1409	1	0.0000	6.1277	70	
10	  1.1845	  16.6024	0.4632	0.2449	0.5068	0.2765	-1	0.1842	0.1370	1	0.0166	5.8750	71	
10	  1.2012	  16.7540	0.5199	0.3677	0.5120	0.3130	-1	0.1731	0.1391	1	0.0334	5.5210	72	
10	  1.2179	  16.6208	0.2392	-0.0805	0.4029	0.1556	-1	0.1847	0.1510	1	0.0000	5.8926	73	
10	  1.2346	  16.7410	0.4242	-0.0474	0.4114	0.0744	-1	0.1865	0.1272	1	0.0167	5.9478	74	
10	  1.2512	  16.6383	0.5460	0.1363	0.4652	0.0992	9	0.2186	0.1465	1	0.0334	6.9731	75	
10	  1.2679	  16.6169	0.5923	0.1946	0.5161	0.1374	9	0.1883	0.1437	1	0.0166	6.0075	76	
10	  1.2846	  16.7799	0.4696	0.1843	0.4975	0.1561	9	0.1829	0.1505	1	0.0168	5.8337	77	
10	  1.3012	  16.5988	0.5651	0.2621	0.5245	0.1985	-1	0.2106	0.1282	1	0.0166	6.7158	78	
10	  1.3180	  16.7666	0.4348	0.5099	0.4886	0.3231	-1	0.1997	0.1526	1	0.0000	6.3698	79	
10	  1.3346	  16.6015	0.5408	0.4221	0.5095	0.3627	-1	0.1698	0.1369	1	0.0166	5.4156	80	
10	  1.3514	  16.7552	0.4445	0.2711	0.4835	0.3261	-1	0.1635	0.1369	1	0.0334	5.2155	81	
10	  1.3680	  16.6199	0.5596	0.3672	0.5139	0.3425	-1	0.1627	0.1514	1	0.0166	5.1895	82	
10	  1.3846	  16.6408	0.5621	0.1397	0.5332	0.2614	-1	0.1810	0.1510	1	0.0166	5.7723	83	
10	  1.4014	  16.7337	0.6204	-0.0843	0.5681	0.1231	-1	0.1835	0.1589	1	0.0000	5.8534	84	
12	 1.404393	1 dot 0.43333333333333335
10	  1.4180	  16.6456	0.5593	0.3080	0.5646	0.1971	-1	0.2092	0.1303	1	0.0166	6.6738	85	
10	  1.4347	  16.7301	0.5346	0.1381	0.5526	0.1735	9	0.1816	0.1323	1	0.0334	5.7914	86	
10	  1.4514	  16.6217	0.3332	0.2029	0.4648	0.1852	-1	0.1989	0.1381	1	0.0500	6.3441	87	
